Tags,Meaning
rotation,"A rotation is a circular movement of an object around a center (or point) of rotation.  
On a mobile device, it indicates the change of orientation."
laravel-airlock,Laravel Airlock provides a featherweight authentication system for SPAs and simple APIs.
ext4,Ext 4 is a linux filesystem.
compiler-flags,"Parameters that may be passed to a compiler affecting how compilation is carried out. These can have a variety of effects on the paths searched for external dependencies, optimization level, how source code is interpreted, code checks that are performed and preprocessor directives."
spring-mono,
amazon-route53,Amazon Route 53 is a highly available and scalable Domain Name System (DNS) web service. It is designed to give developers and businesses an extremely reliable and cost effective way to route end users to Internet applications by translating human readable names like www.example.com into the numeric IP addresses like 192.0.2.1 that computers use to connect to each other.
in-app-purchase,In-app purchase (IAP) usually refers to the acquisition of a feature for an application from within the application itself or the buying of digital goods from within an application. Use this tag for questions about writing code for the buying process. Questions about app-store policies or about specific transactions are off-topic on Stack Overflow and should not be posted.
protocolexception,
rrule,A rrule is used in the iCal format to specify rules for recurring events.
xcode12beta6,
azure-ad-b2b,
wsl-2,"This tag should be used for question about Windows Subsystem for Linux version 2.
It should not be used for WSL version 1."
styled-components,"styled-components is a JavaScript library for styling React applications. It removes the mapping between styles and components, and lets you write actual CSS augmented with JavaScript."
cloud,"Cloud computing is about hardware-based services involving computing, network and storage capacities. These services are provided on-demand, hosted by the cloud provider and can easily scale up and down."
protoc,"protoc is the compiler for .proto files. It generates language bindings for the messages and/or RPC services from .proto files.
protoc is a native executable, the scripts under this directory build and publish a protoc executable (a.k.a. artifact) to Maven repositories. The artifact can be used by build automation tools so that users would not need to compile and install protoc for their systems."
hive-metastore,"Hive Metastore refers to the central repository of Apache Hive (the open source of data ware house system built on top of hadoop) metadata, which stores metadata for Hive tables and partitions in a relational database.  Use this tag for questions related to the Apache Hive central repository."
dialogflow-es-fulfillment,"Dialogflow ES is a natural language platform owned by Google. (Formerly known as just Dialogflow or as api.ai.) A fulfillment in Dialogflow ES allows an intent to perform operations on input parameters and return an output. Use this tag when issues arise with building fulfillments. For questions about the Dialogflow ES API or UI, use the dialogflow-es tag. For the similarly named, but incompatible, Dialogflow CX, use the dialogflow-cx tag."
cstdint,"Header that declares types and macro constants to deal with fixed-width cross-platform integer types, available since C++11. This header replaces stdint.h wich is tagged as deprecated."
redux,"Redux is a pattern and library for managing JavaScript application state, using events called &quot;actions&quot;. It serves as a centralized store for state that is needed across your entire application, with rules ensuring that the state can only be updated in a predictable fashion. Redux make it easier to understand when, where, why, and how the state in your application is being updated, and how your application logic will behave when those changes occur."
sendmail,"DO NOT use as a general tag for sending email. This is about &quot;sendmail&quot;, the general purpose email routing facility that supports mail transport via TCP/IP using SMTP"
jenkins-pipeline,Questions about the Jenkins “Pipeline” plugin suite (formerly “Workflow”). Not about pipelines in Jenkins in general (e.g. using downstream jobs).
node-cron,
one-to-many,one-to-many is relationship between two different object properties. 
google-cloud-functions,"Google Cloud Functions is a lightweight, event-based, asynchronous compute solution that allows you to create small, single-purpose functions written in Node.js, Python or Go that respond to cloud events without the need to manage a server or a runtime environment.
"
java-security-manager,
sha,"SHA (Secure Hash Algorithm) is a family of digest algorithms (i.e. cryptographic hashes), i.e. checksum functions that are hard to forge. The recommended digest algorithms these days are SHA-1 and SHA-2 (which covers both SHA-256 and SHA-512). MD5 is a deprecated alternative."
sass-loader,
cvxopt,"A Python package for convex optimization, including solvers for linear programming, quadratic programming, semidefinite programming and more."
cabal-install,cabal-install is a package manager and dependency resolver for building and installing Haskell libraries.
automated-tests,"Test automation is the use of software to control the execution of tests, the comparison of actual outcomes to predicted outcomes, the setting up of test preconditions, and other test control and test reporting functions. Commonly, test automation involves automating a manual process already in place that uses a formalized testing process (wikipedia.org)."
apfs,"Apple file system. Designed for solid state storage devices. Used on MacOS, iOS, tvOS and watchOS."
apache-kafka-mirrormaker,"MirrorMaker is a Kafka tool to mirror a source Kafka cluster into a target (mirror) Kafka cluster. MirrorMaker2 is a newer implementation of the tool, and is based on the Kafka Connect Framework. "
sankey-diagram,"Sankey diagrams are a kind of flow diagram, in which the width of the arrows is shown proportionally to the flow quantity. They are typically used to visualize energy or material or cost transfers between processes."
monospace,Monospace or &quot;fixed pitch&quot; fonts have the same width for each character. They are most often used for code and for situations where a fixed line length is required.
odoo-13,Use this tag for version specific questions about Odoo 13 - the suite of open-source business applications written in Python. When using this tag also include the more generic [odoo] tag where possible.
subject-observer,Use this tag for questions related to an Observer for a Subject. Observers can subscribe to the subject to receive the last (or initial) value and all subsequent notifications.
getcomputedstyle,
azure-data-studio,Use this tag for issues related to Azure Data Studio and try tagging the platform as well. Ask the question on superuser.com if you are facing issues with installation
hiccup,"Hiccup is a library for representing HTML in Clojure. It uses vectors to represent tags, and maps to represent a tag&#39;s attributes."
generic-list,language-agnostic tag for a collection of items where each item has a certain position
oracle-spatial,Oracle Spatial is an extension to Oracle DB which provides support for location data.
intrinsic-content-size,
autocomplete,"Autocomplete is a UI feature provided by applications, where the program predicts a word or phrase that the user wants to type without the user actually typing it completely."
devops,"This tag is for programming questions about DevOps (&quot;development&quot; and &quot;operations&quot;), which is a software development method that stresses communication, collaboration, integration, automation, and measurement of cooperation between software developers and other IT professionals. Non-programming related questions should be asked on the DevOps Stack Exchange site."
watch,"Watch refers to observing the status of variables, files or directories for some or all possible actions such as additions, deletions or modifications.   "
beta-testing,A test for a computer product prior to commercial release.
private-members,"In object oriented programming, private members are those data fields, properties, or methods of a class that are only accessible from within the class itself. "
react-native-config,
ggmap,A package for plotting maps in R with ggplot2
apm,"APM generally refers to Application Performance Management. The best in class tools provide real-time access to detailed information about the performance of a system and its components (including transaction tracing, database and external system response times, etc.)"
codable,Use this tag only for questions directly pertaining to the Swift Codable protocol introduced in Swift 4. 
partition,"Use this tag for questions about code that partitions data, memory, virtual machines, databases or disks."
gnu,This tag is for programming questions related to software and tools provided by the GNU (&quot;GNU&#39;s Not Unix&quot;) project.
vbe,Visual Basic Editor is the built in IDE for writing VBA. It is hosted by various MS Office programs. Use this tag for general questions about the IDE or the Microsoft VBA Extensibility Library (VBIDE) which allows automation of the Visual Basic for Applications Editor.
stimulusjs,
in-app-subscription,"Google Play In-app billing subscriptions let you sell content, services, or features in your app with automated, recurring billing."
anomaly-detection,"In data mining, anomaly detection (also outlier detection) is the identification of items, events or observations which do not conform to an expected pattern or other items in a dataset."
blockly,"Blockly is an open-source web-based, graphical programming environment that enables users to write JavaScript, Python, PHP, and Dart programs by moving around blocks.  Developers can extend it to integrate with their own apps.  It has been translated into over 40 (human) languages."
survey,
mips,MIPS is a RISC instruction set architecture (ISA).  It is commonly used in embedded devices such as set top boxes and networking gear. Many university-level computer architecture classes use the MIPS ISA due to its relative simplicity.
zero-width-space,a control character used to indicate boundaries between words
prisma-binding,
standards,"Standards are officially published or well agreed upon formats, procedures, or protocols. They allow individuals or organizations to collaborate by setting ground rules or boundaries. Standards often come with a set of preconditions or assumptions, which allow collaborators to take those conditions or assumptions as ground truth."
dart-analyzer,Dart Analyzer is a package that provides a library that performs static analysis of Dart code. It is useful for tool integration and embedding.
flow,"This is a meta tag and should not be used.  See the wiki for more information.

For static type checker called &#39;Flow&#39; look into [flowtype] tag."
attribution,
aws-codecommit,AWS CodeCommit is a fully-managed source control service that makes it easy for companies to host secure and highly scalable private Git repositories. 
uncertainty,The uncertainties package is a python package that transparently handles calculations with numbers with uncertainties (like 3.14&#177;0.01). It can also yield the derivatives of any expression.
stdarray,std::array is a container that encapsulates constant size arrays in C++.
datalist,An ASP.NET control for rendering data in a list.
worker,"In software, the term worker usually describes a long-running process being executed in a separate thread from an application&#39;s main thread of execution. Consider [tag:web-worker] for javascript."
git-revert,Revert changes of a commit in a Git repository
json-patch,"JSON Patch defines the media type &quot;application/json-patch&quot;, a JSON document structure for expressing a sequence of operations to apply to a JSON document"
micronaut-aws,Projects using the specific Micronaut integration with Amazon Web Services (AWS) 
symlink,Symlink is short for symbolic link (also soft link). It is a term for any file that contains a reference to another file or directory in the form of an absolute or relative path and that affects pathname resolution.
standardization,
curses,"Curses is a library for unix-ish computers that you can use to have better and more interactive consoles, including colors. It is used in some console games, like the original Rogue."
holoviews,"HoloViews is a Python library that makes analyzing and visualizing scientific or engineering data much simpler, more intuitive, and more easily reproducible."
postfix-operator,"A postfix operator immediately succeeds its operand, as in x! for instance."
coreclr,"CoreCLR is the runtime for both .NET Core and .NET 5 on desktop and server operating systems. It is an execution engine for .NET apps, performing functions such as IL byte code loading, compilation to machine code, and garbage collection."
maxent,Software library based on the maximum-entropy approach for species habitat modeling
junit-rule,"Rules are feature of JUnit, which allow to execute code befor, after or instead of a test."
blogdown,blogdown is an R package for creating websites based on R Markdown and Hugo
unixodbc,unixODBC is an open source project that implements the ODBC API on non windows platforms.
cpu-cache,A CPU-cache is a hardware structure used by the CPU to reduce the average access memory time.
django-unittest,"django-unittest tag refers to writing unit tests in Django, tests that are expressed as methods on a Python class that subclasses unittest.TestCase or Django&#39;s customized TestCase."
react-router-redux,A library of bindings to keep react-router and redux in sync (formerly known as redux-simple-router).
mod-perl,mod-perl is an Apache web server module. The module improves the performance of Perl CGI scripts. Scripts are loaded into memory on the first invocation and added to the Apache process. On each subsequent invocation the script is run directly with no need for loading and parsing.
privacy-policy,"For question regarding the privacy rules and policies of used applications, frameworks, APIs, and services."
jetpack,"Jetpack is a WordPress plugin that enables self-hosted WordPress installs to connect to WordPress.com to get additional features, powered by its cloud infrastructure."
mappedbytebuffer,A direct byte buffer whose content is a memory-mapped region of a file.
point-clouds,"A point cloud is a set of vertices in three-dimensional space, and is commonly the data set output by 3D scanners."
azure-bot-service,Questions related to the Azure Bot Service
function-module,A function module is an SAP sub-program containing reusable code. They can be used to modularise ABAP programs. This tag can be used for issues using predefined function modules and for problems writing and implementing user created function modules. 
survminer,Questions related to survminer package 
fuzzy-search,"A search mechanism where the objective is to find all approximate, relevant or possibly relevant results for the search-key rather than finding an exact match."
keyboard,"A text input device. Use this tag to ask programming questions related to typing, keyboard hiding and more."
pseudo-class,"CSS pseudo-classes allow for more specific selection of elements within a document based upon an element&#39;s status, location in the DOM tree structure, user action, or other factors. "
js-scrollto,The Window.scrollTo() method scrolls to a particular set of coordinates in the document.
database-administration,"the aspects of database usage not directly related to the insertion and extraction of information, such as security, configuration and performance tuning"
simulation,"Simulation is the imitation of some real thing, state of affairs, or process. The act of simulating something generally entails representing certain key characteristics or behaviours of a selected physical or abstract system."
uikit,UIKit (not to be confused with the front-end framework GetUIKit) is the object-oriented framework that is responsible for most of the iOS user interface.
dapper,"Dapper is a micro-ORM for .NET developed and used by the Stack Overflow team, focusing on raw performance as the primary aim."
string,"A string is a finite sequence of symbols, commonly used for text, though sometimes for arbitrary data."
server-side-swift,
event-propagation,"Event propagation, or &quot;bubbling&quot;, occurs when an event occurs inside an element, which is stacked in other elements. "
skia,"Skia is a complete C++ 2D graphics library for drawing text, geometries, and images."
php-cs-fixer,
yarnpkg,"Yarn is an open-source JavaScript package manager. With Yarn, engineers have access to the npm registry and can install packages quickly, and manage dependencies consistently across machines or in secure offline environments."
firmware,Firmware is one of the most often used terms to denote the fixed programs and/or data structures that internally control an electronic device.
ddev,open source tool for setting up a local PHP development environment.
math,"Math involves the manipulation of numbers within a program. For general math questions, please ask on math.stackexchange.com. Note: If your question is about unexpected results in floating point calculations, please read https://stackoverflow.com/questions/588004/is-floating-point-math-broken first."
kali-linux,"Kali Linux is a special-purpose Linux distribution for penetration testing and security auditing, based on Debian.

KALI LINUX QUESTIONS ON STACK OVERFLOW MUST BE PROGRAMMING RELATED. Questions about problems getting something to work on Kali, why Kali is so different from other Linux distributions, etc., are generally off-topic for Stack Overflow."
exc-bad-access,EXC_BAD_ACCESS is a fatal error related to memory management on macOS and iOS.
react-native-mapbox-gl,For questions regarding the use of the mapbox library within react native applications
mpv,The [mpv] tag is for questions about programmatically interacting with the mpv media player or its C library.
elasticsearch-5,"Use this tag for version specific questions about Elasticsearch 5.0 - the distributed, RESTful search and analytics engine. When using this tag also include the more generic [elasticsearch] tag where possible."
stylegan,
css-multicolumn-layout,"The Multi-Column Layout module in CSS allow users to layout their content in a column format, based on a number of different properties."
smartgit,"SmartGit/Hg - is a cross-platform visual client version control system (VCS) for Git, Mercurial and Subversion, that can run on Windows, Linux and Mac OS.
"
mapper,"The mapper is the first step in MapReduce framework, a component of a larger scalable, parallel-izable algorithm."
reference-counting,"Reference counting is a mechanism whereby a computer language keeps track of when you create and then no longer need an object or data structure, in order to free unneeded memory.  Traditionally this would have been done manually by the programmer."
pandas-groupby,To be used for grouping variables together based on a given condition. And only to be used with relevance to `pandas` library
skyfield,Skyfield high precision scientific astronomy library for Python and NumPy
widgetcenter,
flow-typed,flow-typed refers to the flow-typed repository of third-party library interface definitions for use with Flow.
swig,"SWIG is an interface compiler that connects programs written in C and C++ with scripting languages such as Perl, Python, Ruby, and Tcl."
photoimage,
transcription,
react-native-debugger,"The standalone app based on official debugger of React Native, and includes React Inspector / Redux DevTools."
baseline,
jshell,"JShell is a Read–Eval–Print Loop (REPL) tool to evaluate declarations, statements, and expressions of the Java programming language, together with an API so that other applications can leverage this functionality."
sprite,A sprite is a two-dimensional image or animation that is integrated into a larger scene.
typeinitializationexception,TypeInitialization is a .net exception class for when the class fails to initialize a type.
marshalling,Marshalling is the process of transforming the memory representation of an object to a data format suitable for storage or transmission
pymel,"PyMEL makes python scripting with Maya work the way it should. It builds on the cmds module by organizing many of its commands into a class hierarchy, and by customizing them to operate in a more succinct and intuitive way. "
rar,"RAR is a proprietary archive file format that supports data compression, error recovery, and file spanning."
mobx,Functional reactive programming library in JavaScript.
strong-typing,A typing system that enforces restrictions on which operations or methods may be called on an object based on type.
back,"Method or control to return user to previous state, page or screen."
windows-defender,Use with Windows Security which was formally called Windows Defender Security Center
fuseki,"Fuseki is a SPARQL server. It provides REST-style SPARQL HTTP Update, SPARQL Query, and SPARQL Update using the SPARQL protocol over HTTP."
sql,"Structured Query Language (SQL) is a language for querying databases. Questions should include code examples, table structure, sample data, and a tag for the DBMS implementation (e.g. MySQL, PostgreSQL, Oracle, MS SQL Server, IBM DB2, etc.) being used. If your question relates solely to a specific DBMS (uses specific extensions/features), use that DBMS&#39;s tag instead. Answers to questions tagged with SQL should use ISO/IEC standard SQL."
karma-jasmine,"Karma-Jasmine is an adapter for the Jasmine testing framework,which is shipped with Karma by default."
package-name,An Android project package name that uniquely identifies an app.
.net-core-2.1,"Use this tag for questions specifically related to .NET Core 2.1, in addition to using the &#39;.NET Core&#39; tag."
mongo-go,Official MongoDB Go driver
android-management-api,"The Android Management API provides a way to manage enterprise devices and apps, whether you specialize in developing enterprise mobility management (EMM) software or are developing an in-house solution for your organization."
speech,Speech is the vocalized form of human communication.
redhat-openjdk,For development issues encountered while using Red Hat&#39;s distribution of OpenJDK.
near-real-time,
angular-oauth2-oidc,The angular-oauth2-oidc library is for managing Authentication and Authorization in an Angular app depending on an OAuth2 and OpenID Connect server.
bitvector,"A data structure for an array of single bit values, usually with emphasis on memory-efficient storage and performance."
contextpath,Context path refers to the portion of the web request URI that indicates the context of the request. The context path always comes first in a request URI.
socketexception,SocketException is the superclass of all other socket related exceptions and may be thrown during socket creation or setting options.
sample,"Small part of or a selection from something (code, logs, data etc.), intended to show the structure, style, or nature of the whole."
absolute-value,Absolute value is a mathematical function that returns the non-negative value of a number without regard to its sign.
higher-order-functions,Higher-order functions are functions which either take functions as arguments or return them as output (or both).  They are a cornerstone of functional programming.
nsurlsessiondatatask,
openjdk-11,Open JDK 11 is the open-source reference implementation of version 11 of the Java SE Platform as specified by by JSR 384 in the Java Community Process.
pg-promise,Complete access layer to node-postgres via Promises/A+.
google-translation-api,Programmatic interface for dynamic translation of language pairs that uses statistical machine translation service. Supports more than 100 languages and has a language detection feature.
clickable,"The tag refers to a graphics user interface item, which can be clicked using the mouse or tapped (in case of touchscreen application)."
regular-language,"Regular language is a language which can be represented by a regular expression and thus every string in the language can be accepted by the corresponding deterministic finite automaton.

Note: Regular Language should not be confused with Regular Expressions. For question regarding pattern matching within strings, use the [regex] tag instead."
mill,"From its Intro (https://www.lihaoyi.com/mill/index.html):

Mill is your shiny new Java/Scala build tool! Scared of SBT? Melancholy over Maven? Grumbling about Gradle? Baffled by Bazel? Give Mill a try!
"
tf.keras,[tf.keras] is TensorFlow&#39;s implementation of the Keras API specification. Use the tag for questions specific to this TensorFlow module. You might also add the tag [keras] to your question since it has the same API.
cd,"cd is the &quot;change directory&quot; command offered by most shells. For CD-ROMs, please use the [cd-rom] tag."
oracle19c,This tag is for questions which deal specifically with Oracle RDBMS version 19c. General question regarding the Oracle RDBMS product should use the `oracle` tag.
spring-camel,Spring wrapper over Apache Camel
overlay,"Overlays are user interface elements that are displayed over other UI elements, typically for the purpose of presenting additional or enhanced information and detail."
conditional-operator,"The conditional operator is a ternary operator that is part of the syntax for a basic conditional expression  in several programming languages. It is also commonly referred to as the ternary operator or inline if. Different languages have different syntax for the same construct, but all select between one of two options based on a condition.
"
marker,Google Map Marker (using in making Google Maps)
mask,"An image mask is a bitmap that specifies an area to paint, but not the color. In effect, an image mask acts as a stencil to specify where to place color on the page. Quartz uses the current fill color to paint an image mask."
expo-cli,
virtual-desktop,
docker-for-windows,Issues relating to running Windows or Linux containers on a Windows host by using Docker for Windows.
event-loop,Event loop refers to an infinite cycle of actions which is used for processing data based on callbacks and messages.
member-function-pointers,A pointer to a member function of a C++ class.
functools,functools is a module for the Python language which provides support for working with higher-order functions: functions that act on or return other functions
angular-lifecycle-hooks,
private-network,"In the Internet addressing architecture, a private network is a network that uses private IP address space, following the standards set by RFC 1918 for Internet Protocol Version 4 (IPv4), and RFC 4193 for Internet Protocol Version 6 (IPv6)."
rest-parameters,
postman-collection-runner,Use this tag for issues with Postman Collection Runner; use the [postman] tag for general Postman issues.
app-signing,
non-type,"Non-type means several different things in different languages......in python if a function has a &quot;non-type&quot; return type it does not return anything.  In c++ it refers to template parameters that are not types, but actually *instances* of types."
dagger-hilt,Hilt is a Dagger2-based dependency injection library for Android.
glfw,"GLFW is a free, Open Source, multi-platform library for opening a window, creating an OpenGL context and managing input. It is easy to integrate into existing applications and does not lay claim to the main loop.

GLFW is written in C and has native support for Windows, Mac OS X and many Unix-like systems using the X Window System, such as Linux and FreeBSD.

GLFW is licensed under the zlib/libpng license."
torch,Torch is a scientific computing framework for LuaJIT. It is widely used by machine learning researchers around the world.
openid-connect,OpenID Connect (OIDC) is a REST-friendly protocol for the (possibly cross-domain) exchange of user identity built on top of the OAuth 2.0 and JWT specifications.
wordpress-theming,The WordPress Theme system is the way to style your WordPress powered weblog / website.
extensibility,"Extensibility is a system design principle where the implementation takes future growth into consideration. For iOS app extensions, use [ios-app-extension]."
vespa,Questions related to the open big data serving engine Vespa.
helmet.js,Helmet is a javascript library that helps you secure your Express apps by setting various HTTP headers. 
browser-extension,Browser extensions are additions to a browser that add to or improve some part of the browser&#39;s functionality.
blazor-jsinterop,
amazon-linux-2,
stdstring,"std::string is the C++ standard library&#39;s byte-based &quot;string&quot; type, defined in the &lt;string&gt; header."
form-data,FormData is a JavaScript object interface intended to build multipart/form-data in Ajax more easily.
flask-wtforms,Flask-WTF offers simple integration with WTForms. This integration includes optional CSRF handling for greater security.
gss,Grid Style Sheets which are a modernised version of CCSS for responsive design using grids
geofirestore,GeoFirestore is a JavaScript library for storing and querying geographic locations and receiving realtime updates when location data changes.
hyper,A fast and correct HTTP implementation for Rust.
containskey,
eulers-number,Euler&#39;s number (usually denoted e in mathematics) is a transcendental constant approximately equal to 2.718281828. It is the base of natural logarithms.
tensor,"A tensor is a multi-dimensional array. It is a key entity in many computational libraries, such as tensorflow, torch, theano, caffe, mxnet, used for machine learning tasks. If you use this tag, also tag the question with the corresponding library."
smack,Smack is an XMPP (Jabber) client library written in Java for Android and Java SE. It provides a simple API allowing developers to write clients for XMPP services.
ef-core-2.0,Use this tag if you have questions regarding the 2.0 version of Entity Framework for .NET Core.
dependencies,A dependency exists between two elements if changes to the definition of one element may cause changes to the other.
vim-powerline,Powerline is a statusline and prompt managing plugin
highlight.js,"Highlight.js highlights syntax in code examples on blogs, forums and in fact on any web pages."
lua,"Lua is a powerful, fast, lightweight, embeddable scripting language. It is dynamically typed, runs by interpreting bytecode, and has automatic garbage collection. Its speed is one of the main reasons it is widely used by the machine learning community. It is often referred to as an &quot;extensible extension language&quot;. "
binutils,The GNU binary utilities.  A collection of tools for operating on object files.  Most notably they include the GNU assembler and linker.  They are typically used in conjunction with the GNU compiler collection (GCC).
buildconfig,"A class created automatically by the Android Development Tools (ADT) plugin for Eclipse, with information about how the project build was configured."
swipe,A quick motion gesture across the touchscreen.
django-rules,
datetime-format,"datetime-format is a transformation of a timestamp from an industry standard format, such as UTC or ISO, to a format which conforms to the standards of a particular locale or audience"
picocli,"Picocli is a command line parsing library for Java and other JVM languages. Distinguishing features: provides both a programmatic and an annotation API, usage help with ANSI colors, autocompletion on supported platforms and strong support for nested subcommands. Designed to optionally be included as source to avoid adding dependencies. "
react-router-v4,React Router - A complete routing library for React inspired by Ember&#39;s routing system
e2e,
p4a,
stack-allocation,It&#39;s a way to allocate memory in the computer.
open-source,QUESTIONS ABOUT LICENSING ARE OFF-TOPIC. You may ask questions about open source licensing on https://opensource.stackexchange.com. There are no good reasons to use this tag on Stack Overflow
webforms,Web Forms is a part of the ASP.NET web framework. It is one of the programming models you can use to create web applications. Web Forms are pages that users request through their browsers and that form the user interface (UI) that gives web applications their look and feel.
trampolines,A technique to emulate (or augment) jumps / function calls by a custom dispatch. A single trampoline is sufficient to express all control transfers of a program. 
mean-stack,"The MEAN stack is a methodology that employs MongoDB, Express, Angular / AngularJS and Node.js to provide a complete end-to-end system. One of the primary motivations of such a stack is that it is pure JavaScript at all ends.

Two different implementations are available: mean.io and mean.js"
unity-webgl,Unity WebGL is Unity&#39;s export format for web browsers.
version-control,"Version control is the management of changes to documents, programs, and other information stored as computer files. Use this tag to mark general questions about usage and applicability of version control, VCS comparison. For most commands and techniques specific to each particular VCS there are specific tags, which should be preferred."
stdtuple,"Use this tag for questions about the C++ standard library template std::tuple. It represents an ordered, heterogeneous sequence of objects. Also add the tag [c++] when using this tag."
variable-names,
printf,`printf` is a common function for formatted output. C and many other languages have a whole family of related functions. Only use this tag if the question is directly concerned with `printf` or related functions.
unirest,"Unirest is a set of lightweight HTTP libraries available in PHP, Ruby, Python, Java, Objective-C."
average,"In mathematics, an average is a measure of the &quot;middle&quot; or &quot;typical&quot; value of a data set. Different types of averages include the arithmetic mean, the median, and the mode."
webgl,"WebGL extends the capability of the HTML canvas element to allow it to render accelerated graphics in any compatible web browser.

**DO NOT TAG QUESTIONS ABOUT 3D LIBRARIES (like THREE.js) WITH THIS TAG** unless the question is specifically about a WebGL API feature. **DO NOT TAG QUESTION ABOUT UNITY WEBGL WITH THIS TAG!!**"
testcase,A test case in software engineering is a set of conditions or variables under which a tester will determine whether an application or software system is working correctly or not.
instapy,
matcher,"Matchers are objects used among other things by testing libraries to check, if an object matches an abstract description of an expected state. Do not use this tag for use of the Matcher class for regular expression matching, use [regex] instead."
except,Used for the MS .NET LINQ Except() method and the Python except keyword for exception handling. Use the tag sql-except for questions related to the SQL operator EXCEPT
dns,"DNS QUESTIONS MUST BE PROGRAMMING RELATED. Use this tag for programming questions related to writing code that interacts with the Domain Name System (DNS); for example, writing code that uses gethostbyname()"
core-graphics,Core Graphics is Apple&#39;s framework for low-level drawing operations on Mac OS X and iOS.
one-hot-encoding,One-Hot Encoding is a method to encode categorical variables to numerical data that Machine Learning algorithms can deal with. One-Hot encoding is most used during feature engineering for a ML Model. It converts categorical values into a new categorical column and assign a binary value of 1 or 0 to those columns.
vue-validator,Validator component for Vue.js
blazorinputfile,
android-listadapter,
ncurses,The ncurses package is a subroutine library for terminal-independent screen-painting and input-event handling.
kattis,Use this tag for programming challenges found on Kattis.com.
python-telegram-bot,"This is a Python library that wraps around the Telegram Bot API. Note that this is not a general tag for &quot;Telegram bots written with Python&quot;, but only for question about this particular library."
graphics,"Graphics are visual presentations. Questions using this tag should also be tagged with the appropriate language and graphics subsystem in use. For more general graphics questions, consider Computer Graphics Stack Exchange (computergraphics.stackexchange.com)."
launchd,"Launchd is a process management daemon, similar to &quot;init&quot;. It is commonly used on Darwin-based systems."
rack,Rack provides a minimal interface between webservers supporting Ruby and Ruby frameworks.
kdf,"A KDF is a Key Derivation Function. A KDF is used within the field of cryptography to generate one or more keys from a seed value. This seed value could be a password or the secret generated by a Diffie Hellman key derivation function. Well known KDF&#39;s are crypt, bcrypt, scrypt, PBKDF2 and HKDF. The Password Based Key Derivation Functions are commonly used to securely &quot;hash&quot; a password using an iteration count and a salt."
weighting,
ecdsa,"In cryptography, the Elliptic Curve Digital Signature Algorithm offers a variant of the Digital Signature Algorithm which uses elliptic curve cryptography."
clr,"The Common Language Runtime (CLR) is a core component of Microsoft&#39;s .NET initiative. It is Microsoft&#39;s implementation of the Common Language Infrastructure (CLI) standard, which defines an execution environment for program code. In the CLR, code is expressed in a form of bytecode called the Common Intermediate Language (CIL, previously known as MSIL—Microsoft Intermediate Language)."
redis-cache,"Redis is an open source (BSD licensed), in-memory data structure store, use this tag for specific cache usage"
aws-lambda,"AWS Lambda is a compute service that lets you run code without the overhead of managing servers. (Not to be confused with the [lambda] tag, which instead refers to a type of function)."
svd,"Singular Value Decomposition (SVD) is a factorization of a real or complex matrix, with many useful applications in signal processing and statistics."
sml,Standard ML is a high-level functional language with type inference.
crosstab,"A cross tab, also known as a &quot;pivot table&quot;, is a method of summarizing data in tabular form. &#160; Typically, these have a category column in the left hand side, and multiple summary columns to the right.  Each different category will have its own row."
apollo-angular,Questions that are about the usage of the &quot;apollo-angular&quot; npm package which integrates ApolloClient with the Angular javascript framework.
namedtuple,"namedtuple is a data structure provided by the Python collections module. It enables the creation of tuples with named elements (e.g., a Student tuple with the values (name, school, age) rather than a tuple with just two strings and an integer)."
mlr,mlr is a machine learning package for R that provides an interface to many other packages.
android-preferences,
gdi+,The Graphics Device Interface (GDI) is a Microsoft Windows application programming interface and core operating system component responsible for representing graphical objects and transmitting them to output devices such as monitors and printers. -Wikipedia
nested-table,Table containing another table (hierarchical table)
openrefine,OpenRefine is the new name for the data cleaning tool which used to be called Google Refine (and was born as Freebase Gridworks)
system.configuration,The System.Configuration is a .net framework namespace contains the types that provide the programming model for handling configuration data.
ngx-restangular,"Questions about the ngx-restangular library, the Angular 2+ follow-up to Restangular."
ideavim,IdeaVim is a vim emulation plug-in for IDEs based on the IntelliJ platform.
threadpoolexecutor,"In Java, an ExecutorService that executes each submitted task using one of possibly several pooled threads. "
aws-amplify,AWS framework for rapidly developing backends for mobile and web applications.
qt,"Qt is a cross-platform application development framework widely used for the development of application software that can be run on various software and hardware platforms with little or no change in the underlying codebase, while having the power and speed of native applications.
Qt is available with both commercial and open source licenses."
servlet-dispatching,A process of invoking a servlet dispatcher to handle a new URI.
persian-calendar,
coin-or-cbc,"Cbc (Coin-or branch and cut) is an open-source mixed integer programming solver written in C++.
It is a C++ library with a command line tool. It is part of the COIN-OR (Open Source for the Operations Research Community) project."
pdfobject,"PDFObject is an easy-to-use method for dynamically embedding PDF ﬁles 
into HTML documents. It uses JavaScript to generate and inject a standardsfriendly &lt;object&gt; element into your HTML ﬁle."
media,Media are the storage and transmission channels or tools used to store and deliver information or data.
azure-container-instances,Azure Container Instances is a cloud service from Microsoft that offers to run containers as a service without managing the underlying infrastructure/servers. This tag is used for questions related to using azure container instances
pseudo-element,CSS pseudo-elements allow for an enhanced display of content within elements or the ability to generate extra beginning or ending content for elements. 
word2vec,This tool provides an efficient implementation of the continuous bag-of-words and skip-gram architectures for computing vector representations of words. These representations can be subsequently used in many natural language processing applications and for further research. 
